Date,1 week,1 month,3 month,6 month,12 month
2024-02-22,3.86,3.864,3.945,3.907,3.697
2024-02-21,3.873,3.886,3.946,3.911,3.695
2024-02-20,3.886,3.895,3.943,3.928,3.686
2024-02-19,3.893,3.851,3.932,3.915,3.67
2024-02-16,3.882,3.881,3.933,3.895,3.648
2024-02-15,3.852,3.877,3.915,3.925,3.662
2024-02-14,3.875,3.871,3.922,3.903,3.692
2024-02-13,3.875,3.862,3.901,3.882,3.655
2024-02-12,3.876,3.882,3.912,3.908,3.678
2024-02-09,3.884,3.835,3.891,3.898,3.658
2024-02-08,3.888,3.873,3.898,3.888,3.64
2024-02-07,3.877,3.874,3.895,3.899,3.656
2024-02-06,3.876,3.893,3.932,3.922,3.667
2024-02-05,3.864,3.887,3.922,3.905,3.633
2024-02-02,3.877,3.864,3.9,3.837,3.537
2024-02-01,3.843,3.873,3.884,3.832,3.505
2024-01-31,3.832,3.877,3.905,3.835,3.572
2024-01-30,3.883,3.854,3.897,3.836,3.553
2024-01-29,3.878,3.853,3.912,3.866,3.582
2024-01-26,3.895,3.871,3.887,3.873,3.597
2024-01-25,3.851,3.868,3.925,3.911,3.662
2024-01-24,3.849,3.862,3.929,3.922,3.676
2024-01-23,3.882,3.869,3.948,3.944,3.665
2024-01-22,3.885,3.859,3.945,3.925,3.672
2024-01-19,3.858,3.854,3.958,3.908,3.655
2024-01-18,3.878,3.869,3.97,3.928,3.66
2024-01-17,3.886,3.875,3.903,3.862,3.596
2024-01-16,3.882,3.894,3.894,3.867,3.596
2024-01-15,3.88,3.868,3.928,3.874,3.57
2024-01-12,3.884,3.893,3.932,3.896,3.636
2024-01-11,3.871,3.88,3.942,3.92,3.654
2024-01-10,3.872,3.877,3.936,3.902,3.635
2024-01-09,3.869,3.867,3.928,3.891,3.601
2024-01-08,3.888,3.871,3.925,3.929,3.616
2024-01-05,3.892,3.878,3.936,3.912,3.584
2024-01-04,3.872,3.858,3.922,3.873,3.544
2024-01-03,3.887,3.865,3.929,3.882,3.545
2024-01-02,3.848,3.856,3.905,3.861,3.532
2024-01-01,3.9,3.845,3.909,3.861,3.513
2023-06-30,3.362,3.399,3.577,3.9,4.134
2023-06-29,3.415,3.415,3.587,3.892,4.103
2023-06-28,3.391,3.418,3.598,3.93,4.119
2023-06-27,3.394,3.411,3.554,3.915,4.094
2023-06-26,3.382,3.429,3.577,3.908,4.092
2023-06-23,3.396,3.448,3.61,3.933,4.147
2023-06-22,3.401,3.413,3.6,3.907,4.111
2023-06-21,3.363,3.439,3.568,3.886,4.088
2023-06-20,3.312,3.383,3.587,3.892,4.082
2023-06-19,3.209,3.372,3.551,3.861,4.046
2023-06-16,3.234,3.355,3.572,3.822,4.02
2023-06-15,3.202,3.35,3.547,3.818,3.965
2023-06-14,3.159,3.338,3.522,3.79,3.944
2023-06-13,3.131,3.328,3.526,3.794,3.942
2023-06-12,3.136,3.315,3.478,3.753,3.938
2023-06-09,3.128,3.29,3.469,3.762,3.928
2023-06-08,3.153,3.258,3.486,3.757,3.936
2023-06-07,3.136,3.271,3.459,3.733,3.923
2023-06-06,3.152,3.254,3.476,3.715,3.914
2023-06-05,3.134,3.222,3.493,3.739,3.884
2023-06-02,3.121,3.218,3.49,3.728,3.875
2023-06-01,3.154,3.21,3.462,3.721,3.875
2023-05-31,3.122,3.211,3.463,3.746,3.939
2023-05-30,3.14,3.214,3.474,3.77,3.965
2023-05-29,3.146,3.213,3.483,3.781,3.982
2023-05-26,3.125,3.199,3.462,3.76,3.955
2023-05-25,3.152,3.198,3.457,3.769,3.943
2023-05-24,3.115,3.138,3.415,3.744,3.932
2023-05-23,3.152,3.142,3.422,3.732,3.904
2023-05-22,3.132,3.135,3.412,3.714,3.893
2023-05-19,3.129,3.134,3.415,3.707,3.878
2023-05-18,3.137,3.151,3.383,3.687,3.858
2023-05-17,3.112,3.152,3.388,3.671,3.834
2023-05-16,3.147,3.158,3.382,3.658,3.807
2023-05-15,3.145,3.15,3.358,3.663,3.805
2023-05-12,3.127,3.162,3.348,3.638,3.799
2023-05-11,3.126,3.159,3.323,3.629,3.795
2023-05-10,3.096,3.146,3.301,3.625,3.808
2023-05-09,3.078,3.161,3.27,3.608,3.804
2023-05-08,3.012,3.138,3.312,3.605,3.79
2023-05-05,2.95,3.099,3.28,3.575,3.77
2023-05-04,2.902,3.112,3.281,3.651,3.843
2023-05-03,2.91,3.088,3.275,3.644,3.843
2023-05-02,2.91,3.093,3.274,3.622,3.822
