DATE,1-Year,5-Year,10-Year,20-Year,30-Year
2004-09-06,2.298838,3.457222,4.20922,4.98868,4.98868
2004-09-07,2.328891,3.479518,4.209626,4.975495,4.975495
2004-09-08,2.346666,3.507894,4.228419,4.978894,4.978894
2004-09-09,2.308988,3.430628,4.161872,4.946545,4.946545
2004-09-10,2.271566,3.374729,4.120981,4.91853,4.91853
2004-09-13,2.307186,3.410319,4.138965,4.929555,4.929555
2004-09-14,2.29586,3.395882,4.13065,4.928157,4.928157
2004-09-15,2.297686,3.395869,4.128747,4.921745,4.921745
2004-09-16,2.308354,3.40429,4.130073,4.913589,4.913589
2004-09-17,2.281755,3.360508,4.098976,4.893322,4.893322
2004-09-20,2.281191,3.349658,4.081284,4.87471,4.87471
2004-09-21,2.291793,3.360755,4.088465,4.880268,4.880268
2004-09-22,2.291219,3.346642,4.06737,4.85433,4.85433
2004-09-23,2.24383,3.262857,3.995153,4.804375,4.804375
2004-09-24,2.281093,3.319032,4.040459,4.829018,4.829018
2004-09-27,2.268372,3.289943,4.013463,4.811382,4.811382
2004-09-28,2.265591,3.285461,4.022046,4.805108,4.805108
2004-09-29,2.291128,3.325002,4.05765,4.843015,4.843015
2004-09-30,2.281661,3.329645,4.065687,4.888623,4.888623
2004-10-01,2.276508,3.324627,4.088668,4.90375,4.90375
2004-10-04,2.293546,3.364847,4.115546,4.90203,4.90203
2004-10-05,2.280236,3.326839,4.07671,4.87075,4.87075
2004-10-06,2.279477,3.321582,4.068815,4.856062,4.856062
2004-10-07,2.277637,3.326921,4.080702,4.870987,4.870987
2004-10-08,2.227286,3.256038,4.026579,4.833559,4.833559
2004-10-11,2.231585,3.258747,4.037261,4.855812,4.855812
2004-10-12,2.207868,3.212326,3.99307,4.819476,4.819476
2004-10-13,2.222985,3.231775,4.005573,4.819112,4.819112
2004-10-14,2.206728,3.20742,3.986148,4.805394,4.805394
2004-10-15,2.182802,3.185599,3.976069,4.794445,4.794445
2004-10-18,2.184427,3.186001,3.983234,4.819838,4.819838
2004-10-19,2.193978,3.20678,4.004734,4.837404,4.837404
2004-10-20,2.172542,3.159253,3.962014,4.80966,4.80966
2004-10-21,2.18054,3.1633,3.959098,4.799427,4.799427
2004-10-22,2.191096,3.16952,3.960501,4.798792,4.798792
2004-10-25,2.167158,3.120885,3.919884,4.780434,4.780434
2004-10-26,2.167807,3.11468,3.914482,4.77945,4.77945
2004-10-27,2.176091,3.123763,3.917934,4.773167,4.773167
2004-10-28,2.219596,3.215798,3.994896,4.817247,4.817247
2004-10-29,2.217861,3.148274,3.926536,4.831995,4.831995
2004-11-01,2.198297,3.166007,3.962557,4.840586,4.840586
2004-11-02,2.218079,3.198306,3.985472,4.843772,4.843772
2004-11-03,2.198835,3.198585,3.985772,4.844307,4.844307
2004-11-04,2.192017,3.198585,3.986013,4.843407,4.843407
2004-11-05,2.183667,3.199013,3.986297,4.842644,4.842644
2004-11-08,2.175844,3.198948,3.985395,4.845154,4.845154
2004-11-09,2.246411,3.181206,3.944108,4.769728,4.769728
2004-11-10,2.23557,3.159263,3.930825,4.738081,4.738081
2004-11-11,2.211799,3.126083,3.912166,4.721931,4.721931
2004-11-12,2.204732,3.108582,3.887884,4.695883,4.695883
2004-11-15,2.203326,3.080632,3.853985,4.664726,4.664726
2004-11-16,2.223894,3.082819,3.83133,4.639013,4.639013
2004-11-17,2.225473,3.096114,3.850619,4.660039,4.660039
2004-11-18,2.246484,3.130978,3.878715,4.685496,4.685496
2004-11-19,2.236649,3.111386,3.861852,4.669041,4.669041
2004-11-22,2.222906,3.081893,3.834556,4.646124,4.646124
2004-11-23,2.221681,3.074642,3.826896,4.634589,4.634589
2004-11-24,2.201311,3.055217,3.820487,4.633493,4.633493
2004-11-25,2.179165,3.037011,3.807568,4.62002,4.62002
2004-11-26,2.173503,3.03959,3.804963,4.598378,4.598378
2004-11-29,2.198363,3.083054,3.845226,4.632697,4.632697
2004-11-30,2.179836,3.056039,3.82285,4.618238,4.618238
2004-12-01,2.160345,3.030214,3.798845,4.593499,4.593499
2004-12-02,2.196627,3.075817,3.82869,4.604626,4.604626
2004-12-03,2.181088,3.038063,3.79978,4.599163,4.599163
2004-12-06,2.142027,2.982293,3.750883,4.558343,4.558343
2004-12-07,2.138361,2.955818,3.722882,4.542735,4.542735
2004-12-08,2.157474,2.974732,3.725051,4.528234,4.528234
2004-12-09,2.140924,2.914437,3.650069,4.45489,4.45489
2004-12-10,2.156628,2.906785,3.626984,4.427139,4.427139
2004-12-13,2.152547,2.917142,3.635391,4.424534,4.424534
2004-12-14,2.158536,2.912693,3.621375,4.399837,4.399837
2004-12-15,2.152769,2.881719,3.575592,4.343069,4.343069
2004-12-16,2.184339,2.930941,3.600383,4.348175,4.348175
2004-12-17,2.209851,2.989225,3.648564,4.373006,4.373006
2004-12-20,2.191807,2.94417,3.616439,4.364662,4.364662
2004-12-21,2.241607,2.986814,3.647168,4.383508,4.383508
2004-12-22,2.237599,3.001131,3.641276,4.406035,4.406035
2004-12-23,2.214698,2.962626,3.613551,4.405179,4.405179
2004-12-24,2.205452,2.92246,3.574442,4.442186,4.442186
2004-12-27,2.224398,2.984759,3.634788,4.426174,4.426174
2004-12-28,2.228311,2.971164,3.650759,4.42616,4.42616
2004-12-29,2.260297,3.065629,3.709169,4.493653,4.493653
2004-12-30,2.252622,3.061266,3.707558,4.498353,4.498353
2004-12-31,2.243356,3.061771,3.705391,4.505416,4.505416
2005-01-03,2.239782,2.993412,3.66184,4.493401,4.493401
2005-01-04,2.231982,3.034202,3.668323,4.458392,4.458392
2005-01-05,2.248179,3.064513,3.695968,4.472248,4.472248
2005-01-06,2.207488,2.998407,3.652554,4.421138,4.421138
2005-01-07,2.187889,2.967263,3.62111,4.389998,4.389998
2005-01-10,2.179831,2.968441,3.621085,4.383808,4.383808
2005-01-11,2.204538,2.97636,3.615339,4.363969,4.363969
2005-01-12,2.206971,2.984051,3.62426,4.373382,4.373382
2005-01-13,2.174735,2.936373,3.588908,4.339242,4.339242
2005-01-14,2.185829,2.945857,3.580548,4.302932,4.302932
2005-01-17,2.176681,2.925319,3.555552,4.274681,4.274681
2005-01-18,2.189711,2.950131,3.571272,4.269279,4.269279
2005-01-19,2.182498,2.927043,3.532531,4.194969,4.194969
2005-01-20,2.199972,2.968481,3.580961,4.260955,4.260955
2005-01-21,2.193425,2.965278,3.589843,4.277387,4.277387
2005-01-24,2.176315,2.933447,3.559666,4.253457,4.253457
2005-01-25,2.168878,2.920556,3.532348,4.188236,4.188236
2005-01-26,2.183268,2.963987,3.573076,4.213838,4.213838
2005-01-27,2.204153,3.001752,3.599677,4.230298,4.230298
2005-01-28,2.182772,2.947417,3.556881,4.215874,4.215874
2005-01-31,2.188622,2.9526,3.555916,4.207112,4.207112
2005-02-01,2.180269,2.953251,3.555893,4.206563,4.206563
2005-02-02,2.192832,2.951856,3.537406,4.164032,4.164032
2005-02-03,2.210693,2.986255,3.554661,4.127268,4.127268
2005-02-04,2.193969,2.946519,3.506641,4.076074,4.076074
2005-02-07,2.200515,2.945409,3.479576,4.014162,4.014162
2005-02-08,2.21843,2.955995,3.481878,4.036957,4.036957
2005-02-09,2.196484,2.918918,3.446598,3.987149,3.987149
2005-02-10,2.181324,2.894823,3.435463,3.996316,3.996316
2005-02-11,2.179056,2.904452,3.468299,4.059284,4.059284
2005-02-14,2.193053,2.934796,3.497823,4.085428,4.085428
2005-02-15,2.204289,2.953714,3.50522,4.090387,4.090387
2005-02-16,2.201119,2.930206,3.482918,4.115953,4.115953
2005-02-17,2.219426,3.018536,3.587066,4.184324,4.184324
2005-02-18,2.226838,3.077197,3.662412,4.258426,4.258426
