,france (3 month)
1970-01-01,0.1035
1970-02-01,0.0986
1970-03-01,0.0955
1970-04-01,0.0895
1970-05-01,0.0902
1970-06-01,0.0959
1970-07-01,0.091
1970-08-01,0.0864
1970-09-01,0.0828
1970-10-01,0.0828
1970-11-01,0.0796
1970-12-01,0.07519999999999999
1971-01-01,0.0667
1971-02-01,0.0629
1971-03-01,0.0617
1971-04-01,0.0599
1971-05-01,0.0653
1971-06-01,0.0695
1971-07-01,0.0629
1971-08-01,0.0641
1971-09-01,0.0641
1971-10-01,0.061799999999999994
1971-11-01,0.0587
1971-12-01,0.056799999999999996
1972-01-01,0.053899999999999997
1972-02-01,0.0541
1972-03-01,0.049699999999999994
1972-04-01,0.051100000000000007
1972-05-01,0.0542
1972-06-01,0.0489
1972-07-01,0.048499999999999995
1972-08-01,0.0473
1972-09-01,0.0478
1972-10-01,0.0582
1972-11-01,0.0681
1972-12-01,0.079
1973-01-01,0.07719999999999999
1973-02-01,0.0789
1973-03-01,0.078
1973-04-01,0.0768
1973-05-01,0.0784
1973-06-01,0.08
1973-07-01,0.0894
1973-08-01,0.0941
1973-09-01,0.10369999999999999
1973-10-01,0.11359999999999999
1973-11-01,0.1118
1973-12-01,0.11359999999999999
1974-01-01,0.1343
1974-02-01,0.1249
1974-03-01,0.1233
1974-04-01,0.12269999999999999
1974-05-01,0.1278
1974-06-01,0.1374
1974-07-01,0.1413
1974-08-01,0.13970000000000002
1974-09-01,0.1392
1974-10-01,0.1338
1974-11-01,0.1226
1974-12-01,0.1153
1975-01-01,0.1103
1975-02-01,0.09789999999999999
1975-03-01,0.0894
1975-04-01,0.0824
1975-05-01,0.0758
1975-06-01,0.0726
1975-07-01,0.0733
1975-08-01,0.0712
1975-09-01,0.0705
1975-10-01,0.0701
1975-11-01,0.0698
1975-12-01,0.0675
1976-01-01,0.0641
1976-02-01,0.07429999999999999
1976-03-01,0.0784
1976-04-01,0.0768
1976-05-01,0.078
1976-06-01,0.0799
1976-07-01,0.0848
1976-08-01,0.09609999999999999
1976-09-01,0.0959
1976-10-01,0.10339999999999999
1976-11-01,0.1054
1976-12-01,0.1057
1977-01-01,0.1002
1977-02-01,0.0984
1977-03-01,0.09960000000000001
1977-04-01,0.09390000000000001
