date,USD-1-month,USD-3-month,USD-6-month,GBP-3-month
01/01/1986,8.25,8.25,8.25,8.5
01/02/1986,7.94,7.88,7.88,7.94
01/03/1986,7.5,7.44,7.44,7.44
01/04/1986,6.94,6.88,6.88,6.94
01/05/1986,7.13,7.13,7.19,7.38
01/06/1986,7.03,6.88,6.88,6.94
01/07/1986,6.56,6.56,6.56,6.69
01/08/1986,5.94,5.81,5.75,5.88
01/09/1986,6.13,6.13,6.13,6.31
01/10/1986,5.94,5.94,5.94,6.05
01/11/1986,6.38,6.13,6.06,6.13
01/12/1986,6.75,6.44,6.31,6.31
01/01/1987,6.2,6.25,6.23,6.25
01/02/1987,6.47,6.44,6.44,6.56
01/03/1987,6.58,6.69,6.69,6.81
01/04/1987,6.81,7.13,7.38,7.81
01/05/1987,7.25,7.38,7.63,8.06
01/06/1987,7.06,7.19,7.38,7.75
01/07/1987,6.75,7,7.25,7.69
01/08/1987,7.13,7.19,7.44,7.94
01/09/1987,7.75,8.38,8.5,9
01/10/1987,7.13,7.63,7.63,8
01/11/1987,8.19,8,8.06,8.31
01/12/1987,7.13,7.44,7.5,7.88
01/01/1988,6.81,6.94,7.02,7.38
01/02/1988,6.81,6.81,6.94,7.25
01/03/1988,6.8,6.91,7.13,7.56
01/04/1988,7.13,7.31,7.56,8
01/05/1988,7.63,7.75,8,8.5
01/06/1988,7.81,7.94,8.06,8.38
01/07/1988,8.13,8.44,8.69,8.88
01/08/1988,8.38,8.56,8.94,9.19
01/09/1988,8.31,8.63,8.75,8.94
01/10/1988,8.38,8.63,8.63,8.75
01/11/1988,9.56,9.31,9.31,9.38
01/12/1988,9.19,9.31,9.44,9.63
01/01/1989,9.25,9.38,9.5,9.75
01/02/1989,10.06,10.31,10.5,10.75
01/03/1989,10.06,10.31,10.69,11.06
01/04/1989,9.88,9.94,9.94,10.13
01/05/1989,9.69,9.56,9.5,9.5
01/06/1989,9.44,9.31,9.13,9
01/07/1989,8.69,8.56,8.38,8.25
01/08/1989,9,9,9,8.94
01/09/1989,9.13,9.19,9.13,9.06
01/10/1989,8.75,8.69,8.5,8.44
01/11/1989,8.81,8.5,8.31,8.25
01/12/1989,8.5,8.38,8.31,8.25
01/01/1990,8.31,8.38,8.44,8.69
01/02/1990,8.38,8.38,8.44,8.69
01/03/1990,8.38,8.5,8.69,8.94
01/04/1990,8.5,8.69,8.88,9.25
01/05/1990,8.31,8.38,8.5,8.75
01/06/1990,8.31,8.38,8.38,8.44
01/07/1990,8,7.98,7.98,8
01/08/1990,8.06,8.06,8.13,8.25
01/09/1990,8.27,8.31,8.31,8.44
01/10/1990,7.94,8.06,8.06,8.13
01/11/1990,8.63,8.31,8.13,8
01/12/1990,7.63,7.58,7.56,7.56
01/01/1991,6.94,7.06,7.06,7.25
01/02/1991,7,6.88,6.88,7.06
01/03/1991,6.31,6.38,6.56,7
01/04/1991,6.06,6.19,6.31,6.75
01/05/1991,5.94,6.06,6.19,6.63
01/06/1991,6.06,6.19,6.56,7
01/07/1991,5.94,6.06,6.31,6.63
01/08/1991,5.69,5.69,5.81,6
01/09/1991,5.44,5.63,5.63,5.75
01/10/1991,5.13,5.25,5.25,5.38
01/11/1991,5.19,5,4.94,5
01/12/1991,4.31,4.25,4.23,4.31
01/01/1992,4.19,4.19,4.31,4.69
01/02/1992,4.25,4.25,4.38,4.75
01/03/1992,4.25,4.37,4.51,5.06
01/04/1992,3.94,4.06,4.25,4.75
01/05/1992,4,4.06,4.19,4.69
01/06/1992,3.94,3.94,4.06,4.31
01/07/1992,3.38,3.44,3.63,3.81
01/08/1992,3.48,3.5,3.63,3.75
01/09/1992,3.19,3.27,3.27,3.38
01/10/1992,3.25,3.56,3.56,3.88
01/11/1992,4.25,4,4,4.31
01/12/1992,3.31,3.44,3.63,4.06
01/01/1993,3.13,3.25,3.37,3.69
01/02/1993,3.19,3.21,3.31,3.63
01/03/1993,3.19,3.25,3.38,3.63
01/04/1993,3.13,3.19,3.31,3.5
01/05/1993,3.25,3.38,3.5,3.88
01/06/1993,3.19,3.31,3.51,3.75
01/07/1993,3.19,3.31,3.5,3.75
01/08/1993,3.19,3.25,3.44,3.56
01/09/1993,3.19,3.38,3.38,3.56
01/10/1993,3.19,3.44,3.44,3.63
01/11/1993,3.56,3.5,3.5,3.81
01/12/1993,3.25,3.38,3.5,3.81
01/01/1994,3.13,3.25,3.38,3.69
01/02/1994,3.56,3.75,4,4.31
01/03/1994,3.69,3.94,4.25,4.75
01/04/1994,4,4.31,4.69,5.31
01/05/1994,4.38,4.63,5,5.56
01/06/1994,4.56,4.88,5.25,5.81
01/07/1994,4.5,4.88,5.31,5.81
01/08/1994,4.88,5,5.31,5.81
01/09/1994,5.06,5.5,5.75,6.31
01/10/1994,5.06,5.63,5.94,6.5
01/11/1994,6.06,6.19,6.56,7.25
01/12/1994,6,6.5,7,7.75
01/01/1995,6.09,6.31,6.69,7.25
01/02/1995,6.13,6.25,6.44,6.75
01/03/1995,6.13,6.25,6.5,6.81
01/04/1995,6.06,6.19,6.38,6.63
01/05/1995,6.06,6.06,6,6
01/06/1995,6.13,6.06,6,5.98
01/07/1995,5.88,5.88,5.88,5.94
01/08/1995,5.88,5.88,5.91,5.94
01/09/1995,5.88,5.95,5.95,6
01/10/1995,5.83,5.94,5.88,5.81
01/11/1995,5.98,5.88,5.69,5.63
01/12/1995,5.69,5.63,5.51,5.43
01/01/1996,5.44,5.38,5.27,5.13
01/02/1996,5.31,5.31,5.3,5.31
01/03/1996,5.44,5.47,5.5,5.72
01/04/1996,5.44,5.48,5.56,5.81
01/05/1996,5.44,5.5,5.63,6
01/06/1996,5.5,5.58,5.79,6.13
01/07/1996,5.47,5.68,5.88,6.22
01/08/1996,5.44,5.56,5.77,6.1
01/09/1996,5.43,5.63,5.73,5.99
01/10/1996,5.38,5.5,5.57,5.75
01/11/1996,5.56,5.5,5.54,5.69
01/12/1996,5.5,5.56,5.6,5.79
01/01/1997,5.44,5.56,5.69,5.94
01/02/1997,5.44,5.54,5.69,5.97
01/03/1997,5.69,5.77,5.94,6.27
01/04/1997,5.69,5.82,6,6.31
01/05/1997,5.69,5.81,6,6.26
01/06/1997,6.06,5.9,5.69,5.48
01/07/1997,5.63,5.71,5.8,5.94
01/08/1997,5.66,5.72,5.84,6.03
01/09/1997,5.66,5.77,5.84,6
01/10/1997,5.65,5.75,5.79,5.92
01/11/1997,5.97,5.9,5.91,6.01
01/12/1997,5.72,5.81,5.84,5.97
01/01/1998,5.6,5.63,5.63,5.66
01/02/1998,5.69,5.68,5.7,5.79
01/03/1998,5.69,5.71,5.75,5.89
01/04/1998,5.66,5.72,5.81,5.99
01/05/1998,5.66,5.69,5.75,5.88
01/06/1998,5.66,5.72,5.78,5.84
01/07/1998,5.66,5.69,5.75,5.82
01/08/1998,5.65,5.63,5.59,5.53
01/09/1998,5.38,5.31,5.25,5.06
01/10/1998,5.24,5.22,4.98,4.75
01/11/1998,5.62,5.28,5.15,5.13
01/12/1998,5.06,5.07,5.07,5.1
01/01/1999,4.94,4.97,4.97,5.06
01/02/1999,4.96,5.03,5.13,5.39
01/03/1999,4.94,5,5.06,5.25
01/04/1999,4.9,4.99,5.04,5.23
01/05/1999,4.94,5.07,5.25,5.56
01/06/1999,5.24,5.37,5.65,5.84
01/07/1999,5.19,5.34,5.71,5.89
01/08/1999,5.38,5.52,5.92,6.06
01/09/1999,5.4,6.08,5.96,6.04
01/10/1999,5.41,6.19,6.12,6.25
01/11/1999,6.48,6.12,6.06,6.29
01/12/1999,5.83,6,6.13,6.5
01/01/2000,5.89,6.08,6.29,6.75
01/02/2000,5.92,6.11,6.33,6.76
01/03/2000,6.13,6.29,6.53,6.94
01/04/2000,6.29,6.5,6.73,7.1
01/05/2000,6.65,6.86,7.11,7.5
01/06/2000,6.64,6.77,7,7.18
01/07/2000,6.62,6.72,6.89,7.08
01/08/2000,6.63,6.68,6.83,6.97
01/09/2000,6.62,6.81,6.76,6.8
01/10/2000,6.62,6.76,6.72,6.73
01/11/2000,6.8,6.72,6.64,6.56
01/12/2000,6.56,6.4,6.2,6
01/01/2001,5.57,5.42,5.26,5.17
01/02/2001,5.21,5.05,4.91,4.88
01/03/2001,5.08,4.88,4.71,4.67
01/04/2001,4.43,4.34,4.3,4.44
01/05/2001,4.06,3.99,3.98,4.24
01/06/2001,3.86,3.84,3.91,4.18
01/07/2001,3.75,3.67,3.69,3.82
01/08/2001,3.58,3.46,3.45,3.56
01/09/2001,2.63,2.59,2.52,2.64
