,united_states (3 month)
1964-06-01,0.038599999999999995
1964-07-01,0.0387
1964-08-01,0.0385
1964-09-01,0.0387
1964-10-01,0.0394
1964-11-01,0.039900000000000005
1964-12-01,0.0414
1965-01-01,0.041299999999999996
1965-02-01,0.04190000000000001
1965-03-01,0.042699999999999995
1965-04-01,0.042800000000000005
1965-05-01,0.0432
1965-06-01,0.0431
1965-07-01,0.0429
1965-08-01,0.043
1965-09-01,0.0434
1965-10-01,0.0446
1965-11-01,0.0449
1965-12-01,0.0475
1966-01-01,0.0495
1966-02-01,0.050499999999999996
1966-03-01,0.0519
1966-04-01,0.0526
1966-05-01,0.0538
1966-06-01,0.055
1966-07-01,0.0562
1966-08-01,0.0572
1966-09-01,0.058600000000000006
1966-10-01,0.0583
1966-11-01,0.0579
1966-12-01,0.0565
1967-01-01,0.054000000000000006
1967-02-01,0.0518
1967-03-01,0.0501
1967-04-01,0.0443
1967-05-01,0.0449
1967-06-01,0.0466
1967-07-01,0.05
1967-08-01,0.0493
1967-09-01,0.049100000000000005
1967-10-01,0.052199999999999996
1967-11-01,0.054000000000000006
1967-12-01,0.0562
1968-01-01,0.0548
1968-02-01,0.0533
1968-03-01,0.0558
1968-04-01,0.057800000000000004
1968-05-01,0.061399999999999996
1968-06-01,0.061200000000000004
1968-07-01,0.0603
1968-08-01,0.058499999999999996
1968-09-01,0.057800000000000004
1968-10-01,0.059000000000000004
1968-11-01,0.0605
1968-12-01,0.06269999999999999
1969-01-01,0.065
1969-02-01,0.0652
1969-03-01,0.0665
1969-04-01,0.0684
1969-05-01,0.0728
1969-06-01,0.0801
1969-07-01,0.08689999999999999
1969-08-01,0.08380000000000001
1969-09-01,0.08470000000000001
1969-10-01,0.08560000000000001
1969-11-01,0.08460000000000001
1969-12-01,0.0877
1970-01-01,0.0891
1970-02-01,0.0858
1970-03-01,0.0808
1970-04-01,0.0751
1970-05-01,0.0808
1970-06-01,0.08070000000000001
1970-07-01,0.0801
1970-08-01,0.07719999999999999
1970-09-01,0.073
1970-10-01,0.0676
1970-11-01,0.0608
1970-12-01,0.0567
1971-01-01,0.0509
1971-02-01,0.0438
1971-03-01,0.0385
1971-04-01,0.044500000000000005
1971-05-01,0.049800000000000004
1971-06-01,0.054000000000000006
1971-07-01,0.0575
1971-08-01,0.0574
1971-09-01,0.056299999999999996
1971-10-01,0.0527
1971-11-01,0.0487
1971-12-01,0.04650000000000001
1972-01-01,0.0395
